Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
110,https://www.youtube.com/watch?v=sbXv3lNyoeo,China's New Construction Technology SHOCKED US Engineers,102970,581,53,Carros Show,568
111,https://www.youtube.com/watch?v=ZfgzqfPFM2U,iphone Teardown Test : 90% लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,11203513,830654,1340,Tech Master Shorts,60
112,https://www.youtube.com/watch?v=jcc_8kyBXrA,Technology Full Live Set @ Universo Paralello 2022 / 2023,28127,952,57,Nano Records,5206
113,https://www.youtube.com/watch?v=JmD9rohDnjQ,Where Thousands Of Tech Workers Went After Mass Layoffs,505104,6169,1018,CNBC,828
114,https://www.youtube.com/watch?v=2Y4IH0k2xX8,Bloomberg Technology 08/17/2023,8509,122,4,Bloomberg Technology,2665
115,https://www.youtube.com/watch?v=_AXKPrw2efw,New Car Technology We Really Love [Doug DeMuro + Alanis King],133652,5543,1107,Doug DeMuro,1329
116,https://www.youtube.com/watch?v=yYS5ceLm65w,Computer Science Vs Information Technology – [Hindi] – Quick Support,274210,12278,404,Quick Support,517
117,https://www.youtube.com/watch?v=PKATJiyz0iI,10 Coolest Gadgets and Inventions That Will Blow Your Mind,1355673,14589,290,Future Tech,511
118,https://www.youtube.com/watch?v=K8Xh8mgyCzM,50 Rupees Useful Gadgets ? #shorts #gadgets,33581553,1905690,2309,Tech FC Shorts,29
119,https://www.youtube.com/watch?v=tY28ZFDwuQs,240W Charging Phone : 90% लोग नहीं जानते 😳😳 #shorts  #realme   #techmaster,5611084,497848,557,Tech Master Shorts,48
120,https://www.youtube.com/watch?v=a_5btLCRR24,50 Cent - Ayo Technology (feat. Justin Timberlake & Timbaland),1147184,13004,317,The Real G Music TV,248
121,https://www.youtube.com/watch?v=P73REgj-3UE,Primitive Technology: Tiled Roof Hut,88527254,1014934,68583,Primitive Technology,849
122,https://www.youtube.com/watch?v=Oa9aWdcCC4o,The World in 2050: Future Technology,2621362,36703,2651,Insane Curiosity,941
123,https://www.youtube.com/watch?v=JbZW_oCUlsg,Palm-payment technology coming to all U.S. Whole Foods,22416,224,283,CBS News,137
124,https://www.youtube.com/watch?v=QacjCYPRSuM,Kunjuttan Rocks Epi : 9 | Ball Ferry | M4 Tech | #shorts,218666643,5767379,3805,M4 Tech,60
125,https://www.youtube.com/watch?v=4zKewxRfKnw,10 Top Technologies You MUST Learn In 2023 - Upcoming Technologies That Will Change the Game!,23681,1036,95,Tiff In Tech,837
126,https://www.youtube.com/watch?v=LV_8bytaZ6U,Ayo Technology,2115393,51314,2499,Kynda Gray & RIN,191
127,https://www.youtube.com/watch?v=gckyFjucFdo,Did Python just REPLACE JavaScript!?👩‍💻 #programming #tech #technology #software #developer #code,471688,26739,812,Coding with Lewis,28
128,https://www.youtube.com/watch?v=KHq_MCMA89Q,How New Boeing's Plan Will Change Aviation Forever,208747,2058,369,Beyond Facts,490
129,https://www.youtube.com/watch?v=mvvD21aUYeA,5 Sneakiest Tech Pranks EVER 😈,31851913,2317973,4591,Mrwhosetheboss,57
130,https://www.youtube.com/watch?v=kTNoXCP77Fo,The World Cup's new high tech balls,5151679,261450,2206,Cleo Abram,48
131,https://www.youtube.com/watch?v=JhHMJCUmq28,Quantum Computers Explained – Limits of Human Technology,18009382,435066,18884,Kurzgesagt – In a Nutshell,437
132,https://www.youtube.com/watch?v=fRTVGW7UJQ4,ऐसा मिलता है London में Grocery समान 😮😮 #Tech #Shorts #Manojsaru #London,18908683,1599238,1738,Manoj Saru,41
133,https://www.youtube.com/watch?v=nJIe2E3_c1U,Construction workers can't believe this machine. Incredible modern construction technology.,2972403,17581,269,AKLA GELEN,521
134,https://www.youtube.com/watch?v=7SH4irC_xMs,Primitive Technology: New Brick Kiln Design,1847096,85768,3801,Primitive Technology,835
135,https://www.youtube.com/watch?v=XuruPLldSCw,Most Ingenious Construction Inventions & Advanced Working Technology ▶3,3136300,12416,165,Quantum Tech HD,593
136,https://www.youtube.com/watch?v=l0bpy857deM,"World Modern Agriculture Technology - Broccoli, Cabbage, carrot, onion Harvesting machine 2021",8284212,40939,741,Noal Farm,650
137,https://www.youtube.com/watch?v=6_q_LHq85Cs,How Life Will Look Like In 2050,1064311,10552,1067,Simply Tech,592
138,https://www.youtube.com/watch?v=BTe5reYmNig,I bought the TINIEST Tech on the Internet.,8322134,187945,6273,Mrwhosetheboss,884
139,https://www.youtube.com/watch?v=WiMcEYf2r-s,'Bloomberg Technology' Full Show (05/16/2023),8663,103,7,Bloomberg Technology,2660
140,https://www.youtube.com/watch?v=-b_hBaAAAmI,Everyone's reaction to the Linus Tech Tips Situation,375601,23088,2244,NikTek,212
141,https://www.youtube.com/watch?v=SSC0RkJuBVw,Apple Vision Pro - Is it worth $3500?,9457922,278366,18027,Mrwhosetheboss,770
142,https://www.youtube.com/watch?v=Ie6X3W4tfoo,How To Build Skyscrapers? Modern Technology & Construction Process Of High Rise Building,3714385,10580,129,YouCanDo TV,2379
143,https://www.youtube.com/watch?v=0tTf1pdOVmI,"Tecno POVA 5 Pro 5G Unboxing And First Impressions⚡Best 5G Smartphone Under Rs.15,000?!",1152636,58129,1392,Trakin Tech,645
144,https://www.youtube.com/watch?v=dBy4twDV4PY,How China is losing its technology advantage,418994,14524,2027,TechAltar,1028
145,https://www.youtube.com/watch?v=OwKKw_7PnYY,Diy tractor making asphalt road new technology | diy mini construction machine | @SunFarming,56226281,128377,1851,Sun Farming,1413
146,https://www.youtube.com/watch?v=FAUXP2tsnPg,12 INCREDIBLE Inventions YOU Should SEE,45712,638,25,Future Tech,603
147,https://www.youtube.com/watch?v=bkXTW2Z-oXY,This is how to decide what programming language to learn. 👩‍💻 #technology #programming #software,2741627,145970,3041,Coding with Lewis,30
148,https://www.youtube.com/watch?v=lST54thCR3k,20 Emerging Technologies That Will Change Our World,969497,12128,573,Amerikano,1602
149,https://www.youtube.com/watch?v=JZJmltaE1As,PUTZ LINUS TECH TIPS,14657,1263,110,PipocaTech,755
150,https://www.youtube.com/watch?v=Xhhlq98B37U,10 FUTURISTIC INVENTIONS THAT WILL BLOW YOUR MIND IN 2022,2428523,17277,167,New Tech Gadget,607
151,https://www.youtube.com/watch?v=5CLgFKUxCuE,BECOME a Backend Developer with this Roadmap 👩‍💻 #technology #coding #programmer #software #tech,314371,27526,161,Coding with Lewis,36
152,https://www.youtube.com/watch?v=-b_hBaAAAmI,Everyone's reaction to the Linus Tech Tips Situation,375601,23088,2244,NikTek,212
153,https://www.youtube.com/watch?v=AvbcuESuVwA,100 Rupees Useful Gadgets #shorts #gadgets,5266939,351555,351,Tech FC Shorts,30
154,https://www.youtube.com/watch?v=l0bpy857deM,"World Modern Agriculture Technology - Broccoli, Cabbage, carrot, onion Harvesting machine 2021",8284212,40939,741,Noal Farm,650
155,https://www.youtube.com/watch?v=af_ez9KH6Fo,Dell Technologies + Shelves,3554108,31,0,Dell Technologies,30
156,https://www.youtube.com/watch?v=0UlN2dtCxEg,The most TERRIFYING Thought Experiment of ALL TIME #technology #space #artificialintelligence,5478166,344221,16399,Thomas Mulligan,60
157,https://www.youtube.com/watch?v=5guiUrgcblM,The Danger of AI | Scary Technology | Artificial Intelligence | Documentary,620106,5795,656,Moconomy,3121
158,https://www.youtube.com/watch?v=yYS5ceLm65w,Computer Science Vs Information Technology – [Hindi] – Quick Support,274210,12278,404,Quick Support,517
159,https://www.youtube.com/watch?v=JbZW_oCUlsg,Palm-payment technology coming to all U.S. Whole Foods,22416,224,283,CBS News,137
160,https://www.youtube.com/watch?v=vMfylGqu0_M,10 COOLEST Gadgets You Can ACTUALLY OWN,48960,823,23,Future Tech,603
161,https://www.youtube.com/watch?v=aawix7DCSHU,උසස් පෙළට තාක්ෂණවේදය කලොත් රැකියා නෑ ? | Future of the AL Technology Students ET SFT BST ICT,19287,1336,354,Dinuka Wijesinghe,1146
162,https://www.youtube.com/watch?v=2ERNRMD0bVk,4 BRUTAL Tech Pranks that'll end your friendships 🔥,63783327,4431371,14965,Mrwhosetheboss Shorts,59
163,https://www.youtube.com/watch?v=6_q_LHq85Cs,How Life Will Look Like In 2050,1064311,10552,1067,Simply Tech,592
164,https://www.youtube.com/watch?v=XuruPLldSCw,Most Ingenious Construction Inventions & Advanced Working Technology ▶3,3136300,12416,165,Quantum Tech HD,593
165,https://www.youtube.com/watch?v=_utuiCPnurg,What Quantum Computers REALLY Do,658514,58199,674,Cleo Abram,60
166,https://www.youtube.com/watch?v=JZJmltaE1As,PUTZ LINUS TECH TIPS,14657,1263,110,PipocaTech,755
167,https://www.youtube.com/watch?v=EaEjIoQnFXo,I bought the Craziest GAMING TECH in the World.,10785475,271880,7169,Mrwhosetheboss,1081
168,https://www.youtube.com/watch?v=us0oMRRjH1g,How to start a tech company for FREE👩‍💻 #programming #technology #software #opensource #career,180188,19262,53,Coding with Lewis,37
169,https://www.youtube.com/watch?v=_RDeHyAdD38,Buying Tech from Wish 😬,16790808,862696,973,BEOWULF,35
170,https://www.youtube.com/watch?v=qzBbkO0L8Zw,"A NEW WAY TO DO BUSINESS, TECHNOLOGY & GOLD!! #shorts",550360,32798,831,TraxNYC Diamond Jewelry,53
171,https://www.youtube.com/watch?v=fmpFU8GBdQo,Primitive Technology: Amazing Catch A Giant HoneyBee For Food On The Big Tree,6041845,21368,473,Primitive Jungle,511
172,https://www.youtube.com/watch?v=KHq_MCMA89Q,How New Boeing's Plan Will Change Aviation Forever,208746,2058,369,Beyond Facts,490
173,https://www.youtube.com/watch?v=NXpRlemZm5Y,Clean your CPU heatsink and fans or fry your PC! #technology #tech #computer #gaming #shorts,81785,6797,56,Salem Techsperts,25
174,https://www.youtube.com/watch?v=JhHMJCUmq28,Quantum Computers Explained – Limits of Human Technology,18009382,435066,18884,Kurzgesagt – In a Nutshell,437
175,https://www.youtube.com/watch?v=MXkoN4rql3g,Revolution Of Artificial Intelligence | Future Technology | Digital Economy | Documentary,63785,1125,110,Moconomy,3168
176,https://www.youtube.com/watch?v=avmR18ydH7o,WHY IS TECHNOLOGY COOLER IN JAIL?!?,12710057,592383,3005,JerryRigEverything,43
